Lost Accessories,"hi team, As I have got the approval of the BU head and the charge code . Can you please grant me a new charger for my Laptop"
Operating System,Laptop bag not issued
Security Incident,Lost laptop in house.
Operating System,G Drive Files Missing
Operating System,Requirement of LAN cable.
Hardware Issues,Laptop stopped working
,Server INKOCSMS10 (10.211.224.18) has high utilization for HDD
Hardware Issues,Need a connecting wire (Screen to laptop).
Hardware Issues,LG monitor not working
Hardware Issues,"New Joiner (24/06/2019), need the LAN Cable."
Hardware Issues,LAN cable is not working.kindly please replace LAN cable.
Hardware Issues,Few of the keys are not working.
Hardware Issues,Need USB Connector for the extended Screen.
Operating System,"Hi Team, I want a LAN for my Laptop. My seat number is GR10C.6.257. Thanks, Kritika"
Hardware Issues,"Need an HDMI cable (short black cable to connect the blue plugged cable), to connect my monitor to the laptop."
Hardware Issues,LAN Cable Required.
Hardware Issues,
Hardware Issues,Kindly provide me with 2 LAN Cables. 1 for IP Phone and other for my Laptop.
Hardware Issues,Connector required
Hardware Issues,User required HDMI to VGA Connector.
Hardware Issues,Please allocate laptop charger
Hardware Issues,Lan cable is not working no internet. GR10C.05.045
Hardware Issues,need a lan wire
Hardware Issues,Lan wire needed
Hardware Issues,Request you to provide Lan wire to connect CISCO voip phone.
Hardware Issues,"mouse not working properly, please change"
Lost Accessories,Require 6 laptop locks (without key one) as the entire team moves a lot during the day due to limited Bloomberg availability. We are unable to identif
Operating System,IMPORTANT: Activities that need to be completed prior to your end of loan period with KGS- 10 June 2019 (KI)
Hardware Issues,Need LAN at seat no GR10C.5.753 5th floor
Hardware Issues,Laptop charger for today.
Hardware Issues,"Hi Team, I am using dual monitor. However one of my monitor stopped showing display. Can you please help.?"
Hardware Issues,Keyboard issue
Hardware Issues,Change Mouse
Hardware Issues,IT Issue
Hardware Issues,"Mouse is not working properly. Please get it changed. Room 2, Seat- GR10C.5. 827"
Hardware Issues,LAN cabel not working need additional LAN cabel.
Hardware Issues,Non working of scroller of mouse
Hardware Issues,Provision of LAN Wire
Hardware Issues,I want to get my monitors changed as I am facing issue while working on these monitors.
Hardware Issues,I want to get my monitors changed as I am facing issue while working on these monitors.
Hardware Issues,"The keyboard needs to be replaced, it's obsolete."
Hardware Issues,LAN Wire required
Hardware Issues,Required temp charger only for today.
Operating System,Laptop Bag Worn Out
